age,occupation,annual_income,num_bank_acc,num_credit_card,interest_rate,delay_from_due_date,outstanding_debt,credit_util_ratio,credit_history_age,payment_of_min_amount,installment_per_month,amount_invested_monthly,payment_behavior,monthly_balance,credit_score
23,Scientist,19114.12,3,4,3,3,809.98,26.82,22.1,No,49.57,80.42,High_spent_Small_value_payments,312.49,2
23,Scientist,19114.12,3,4,3,5,809.98,31.38,22.4,No,49.57,199.46,Low_spent_Small_value_payments,223.45,2
23,Scientist,19114.12,3,4,3,6,809.98,24.8,22.5,No,49.57,41.42,High_spent_Medium_value_payments,341.49,2
23,Scientist,19114.12,3,4,3,3,809.98,22.54,22.7,No,49.57,178.34,Low_spent_Small_value_payments,244.57,2
28,Teacher,34847.84,2,4,6,7,605.03,38.55,26.8,No,18.82,40.39,High_spent_Large_value_payments,484.59,2
28,Teacher,34847.84,2,4,6,3,605.03,39.18,26.1,No,18.82,99.31,Low_spent_Medium_value_payments,465.68,2
28,Teacher,34847.84,2,4,6,3,605.03,34.98,26.11,No,18.82,130.12,Low_spent_Small_value_payments,444.87,2
28,Teacher,34847.84,2,4,6,3,605.03,33.38,27.0,No,18.82,43.48,High_spent_Large_value_payments,481.51,2
28,Teacher,34847.84,2,4,6,3,605.03,32.93,27.2,No,18.82,218.9,Low_spent_Small_value_payments,356.08,2
54,Entrepreneur,30689.89,2,5,4,5,632.46,35.28,17.4,No,16.42,124.88,Low_spent_Small_value_payments,409.95,1
55,Entrepreneur,30689.89,2,5,4,5,632.46,26.06,17.9,No,16.42,71.28,Low_spent_Large_value_payments,443.55,1
55,Entrepreneur,30689.89,2,5,4,4,632.46,27.33,17.1,No,16.42,125.62,High_spent_Small_value_payments,379.22,1
30,Media_Manager,34081.38,8,7,15,30,1704.18,35.17,14.8,Yes,70.48,38.44,High_spent_Large_value_payments,392.2,0
30,Media_Manager,34081.38,8,7,15,30,1704.18,33.82,15.2,Yes,70.48,29.33,High_spent_Medium_value_payments,411.31,0
44,Journalist,31370.8,1,6,12,2,421.43,28.22,26.6,No,46.62,298.74,Low_spent_Small_value_payments,227.16,2
44,Journalist,31370.8,1,6,12,1,421.43,30.17,26.8,No,46.62,233.61,Low_spent_Small_value_payments,292.3,2
40,Teacher,33751.27,5,5,20,16,1328.93,30.91,19.3,Yes,65.01,70.13,High_spent_Large_value_payments,399.72,1
40,Teacher,33751.27,5,5,20,17,1328.93,23.4,19.5,Yes,65.01,25.19,High_spent_Large_value_payments,444.66,1
40,Teacher,33751.27,5,5,20,16,1328.93,29.07,19.6,Yes,65.01,243.33,Low_spent_Small_value_payments,276.52,1
40,Teacher,33751.27,5,5,20,16,1328.93,32.78,19.7,Yes,65.01,72.86,High_spent_Medium_value_payments,406.99,1
33,Engineer,88640.24,3,6,1,4,950.36,34.67,25.7,No,135.17,298.19,High_spent_Medium_value_payments,543.31,1
33,Engineer,88640.24,3,6,1,4,950.36,34.7,25.9,No,135.17,279.62,High_spent_Medium_value_payments,561.88,2
35,Entrepreneur,54392.16,6,4,14,10,179.22,25.65,26.1,Yes,124.39,243.74,Low_spent_Large_value_payments,378.54,1
35,Entrepreneur,54392.16,6,4,14,10,179.22,34.6,27.2,Yes,124.39,233.12,Low_spent_Small_value_payments,409.16,1
36,Entrepreneur,54392.16,6,4,14,10,179.22,35.11,27.4,Yes,124.39,158.11,Low_spent_Large_value_payments,464.16,1
